Account,As_of_date,Company,AU,Currency,Primary Account,Secondary Account,GL Balance,ihub balnce,Balance Difference,Match Status,Comments,Anomaly
1619205,31-01-2024,10001,1234,USD,All Other Loans,Defferred Costs,38000.00,18500.00,-19500.00,Break,inline with previous balance,
1619205,29-02-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,39400.00,19000.00,-20400.00,Match,inconsistane variations,
1619205,31-03-2024,10001,1234,USD,All Other Loans,Principal,40800.00,19500.00,-21300.00,Break,consistannt increase or decrese,
1619205,30-04-2024,10001,1234,USD,All Other Loans,Principal,42200.00,20000.00,-22200.00,Match,normal,
1619205,31-05-2024,10001,1234,USD,All Other Loans,Defferred Costs,43600.00,20240.00,-23360.00,Break,huge spike,
1619205,30-06-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,45000.00,21000.00,-24000.00,Match,inline with previous balance,
1619205,31-07-2024,10001,1234,USD,All Other Loans,Principal,46400.00,21500.00,-24900.00,Break,inconsistane variations,
1619205,31-08-2024,10001,1234,USD,All Other Loans,Principal,47800.00,22000.00,-25800.00,Match,consistannt increase or decrese,
1619205,30-09-2024,10001,1234,USD,All Other Loans,Defferred Costs,49200.00,22500.00,-26700.00,Break,normal,
1619205,31-10-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,50600.00,23000.00,-27600.00,Match,huge spike,
1619205,30-11-2024,10001,1234,USD,All Other Loans,Principal,52000.00,23500.00,-28500.00,Break,inline with previous balance,
1619205,31-12-2024,10001,1234,USD,All Other Loans,Principal,53400.00,24000.00,-29400.00,Match,inconsistane variations,
1619205,31-01-2025,10001,1234,USD,All Other Loans,Defferred Costs,54800.00,24500.00,-30300.00,Break,consistannt increase or decrese,
1619205,28-02-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,56200.00,25000.00,-31200.00,Match,normal,
1619205,31-03-2025,10001,1234,USD,All Other Loans,Principal,57600.00,25500.00,-32100.00,Break,huge spike,
1619205,30-04-2025,10001,1234,USD,All Other Loans,Principal,59000.00,26000.00,-33000.00,Match,inline with previous balance,
1619205,31-05-2025,10001,1234,USD,All Other Loans,Defferred Costs,60400.00,26500.00,-33900.00,Break,inconsistane variations,
1619205,30-06-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,61800.00,27000.00,-34800.00,Match,consistannt increase or decrese,
1619205,31-07-2025,10001,1234,USD,All Other Loans,Principal,63200.00,27500.00,-35700.00,Break,normal,
1619205,31-08-2025,10001,1234,USD,All Other Loans,Principal,64600.00,28000.00,-36600.00,Match,huge spike,
1619205,30-09-2025,10001,1234,USD,All Other Loans,Defferred Costs,66000.00,28500.00,-37500.00,Break,inline with previous balance,
1619205,31-10-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,67400.00,29000.00,-38400.00,Match,inconsistane variations,
1619205,30-11-2025,10001,1234,USD,All Other Loans,Principal,68800.00,29500.00,-39300.00,Break,consistannt increase or decrese,
1619205,31-12-2025,10001,1234,USD,All Other Loans,Principal,70200.00,30000.00,-40200.00,Match,normal,
1619205,31-01-2024,10001,1234,USD,All Other Loans,Defferred Costs,71600.00,30500.00,-41100.00,Break,huge spike,
1619205,28-02-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,73000.00,31000.00,-42000.00,Match,inline with previous balance,
1619205,31-03-2024,10001,1234,USD,All Other Loans,Principal,74400.00,31500.00,-42900.00,Break,inconsistane variations,
1619205,30-04-2024,10001,1234,USD,All Other Loans,Principal,75800.00,32000.00,-43800.00,Match,consistannt increase or decrese,
1619205,31-05-2024,10001,1234,USD,All Other Loans,Defferred Costs,77200.00,32500.00,-44700.00,Break,normal,
1619205,30-06-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,78600.00,33000.00,-45600.00,Match,huge spike,
1619205,31-07-2024,10001,1234,USD,All Other Loans,Principal,80000.00,33500.00,-46500.00,Break,inline with previous balance,
1619205,31-08-2024,10001,1234,USD,All Other Loans,Principal,81400.00,34000.00,-47400.00,Match,inconsistane variations,
1619205,30-09-2024,10001,1234,USD,All Other Loans,Defferred Costs,82800.00,34500.00,-48300.00,Break,consistannt increase or decrese,
1619205,31-10-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,84200.00,35000.00,-49200.00,Match,normal,
1619205,30-11-2024,10001,1234,USD,All Other Loans,Principal,85600.00,35500.00,-50100.00,Break,huge spike,
1619205,31-12-2024,10001,1234,USD,All Other Loans,Principal,87000.00,36000.00,-51000.00,Match,inline with previous balance,
1619205,31-01-2023,10001,1234,USD,All Other Loans,Defferred Costs,88400.00,36500.00,-51900.00,Break,inconsistane variations,
1619205,28-02-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,89800.00,37000.00,-52800.00,Match,consistannt increase or decrese,
1619205,31-03-2023,10001,1234,USD,All Other Loans,Principal,91200.00,37500.00,-53700.00,Break,normal,
1619205,30-04-2023,10001,1234,USD,All Other Loans,Principal,92600.00,38000.00,-54600.00,Match,huge spike,
1619205,31-05-2023,10001,1234,USD,All Other Loans,Defferred Costs,94000.00,38500.00,-55500.00,Break,inline with previous balance,
1619205,30-06-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,95400.00,39000.00,-56400.00,Match,inconsistane variations,
1619205,31-07-2023,10001,1234,USD,All Other Loans,Principal,96800.00,39500.00,-57300.00,Break,consistannt increase or decrese,
1619205,31-08-2023,10001,1234,USD,All Other Loans,Principal,98200.00,40000.00,-58200.00,Match,normal,
1619205,30-09-2023,10001,1234,USD,All Other Loans,Defferred Costs,99600.00,40500.00,-59100.00,Break,huge spike,
1619205,31-10-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,101000.00,41000.00,-60000.00,Match,inline with previous balance,
1619205,30-11-2023,10001,1234,USD,All Other Loans,Principal,102400.00,41500.00,-60900.00,Break,inconsistane variations,
1619205,31-12-2023,10001,1234,USD,All Other Loans,Principal,103800.00,42000.00,-61800.00,Match,consistannt increase or decrese,
1619205,31-01-2025,10001,1234,USD,All Other Loans,Defferred Costs,105200.00,42500.00,-62700.00,Break,normal,
1619205,29-02-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,106600.00,43000.00,-63600.00,Match,huge spike,
1619205,31-03-2025,10001,1234,USD,All Other Loans,Principal,108000.00,43500.00,-64500.00,Break,inline with previous balance,
1619205,30-04-2025,10001,1234,USD,All Other Loans,Principal,109400.00,44000.00,-65400.00,Match,inconsistane variations,
1619205,31-05-2025,10001,1234,USD,All Other Loans,Defferred Costs,110800.00,44500.00,-66300.00,Break,consistannt increase or decrese,
1619205,30-06-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,112200.00,45000.00,-67200.00,Match,normal,
1619205,31-07-2025,10001,1234,USD,All Other Loans,Principal,113600.00,45500.00,-68100.00,Break,huge spike,
1619205,31-08-2025,10001,1234,USD,All Other Loans,Principal,115000.00,46000.00,-69000.00,Match,inline with previous balance,
1619205,30-09-2025,10001,1234,USD,All Other Loans,Defferred Costs,116400.00,46500.00,-69900.00,Break,inconsistane variations,
1619205,31-10-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,117800.00,47000.00,-70800.00,Match,consistannt increase or decrese,
1619205,30-11-2025,10001,1234,USD,All Other Loans,Principal,119200.00,47500.00,-71700.00,Break,normal,
1619205,31-12-2025,10001,1234,USD,All Other Loans,Principal,120600.00,48000.00,-72600.00,Match,huge spike,
1619205,31-01-2020,10001,1234,USD,All Other Loans,Defferred Costs,122000.00,48500.00,-73500.00,Break,inline with previous balance,
1619205,28-02-2020,10001,1234,USD,All Other Loans,Defferre Org Fees,123400.00,49000.00,-74400.00,Match,inconsistane variations,
1619205,31-03-2020,10001,1234,USD,All Other Loans,Principal,124800.00,49500.00,-75300.00,Break,consistannt increase or decrese,
1619205,30-04-2020,10001,1234,USD,All Other Loans,Principal,126200.00,50000.00,-76200.00,Match,normal,
1619205,31-05-2020,10001,1234,USD,All Other Loans,Defferred Costs,127600.00,50500.00,-77100.00,Break,huge spike,
1619205,30-06-2020,10001,1234,USD,All Other Loans,Defferre Org Fees,129000.00,51000.00,-78000.00,Match,inline with previous balance,
1619205,31-07-2020,10001,1234,USD,All Other Loans,Principal,130400.00,51500.00,-78900.00,Break,inconsistane variations,
1619205,31-08-2020,10001,1234,USD,All Other Loans,Principal,131800.00,52000.00,-79800.00,Match,consistannt increase or decrese,
1619205,30-09-2020,10001,1234,USD,All Other Loans,Defferred Costs,133200.00,52500.00,-80700.00,Break,normal,
1619205,31-10-2020,10001,1234,USD,All Other Loans,Defferre Org Fees,134600.00,53000.00,-81600.00,Match,huge spike,
1619205,30-11-2020,10001,1234,USD,All Other Loans,Principal,136000.00,53500.00,-82500.00,Break,inline with previous balance,
1619205,31-12-2020,10001,1234,USD,All Other Loans,Principal,137400.00,54000.00,-83400.00,Match,inconsistane variations,
1619205,31-01-2021,10001,1234,USD,All Other Loans,Defferred Costs,138800.00,54500.00,-84300.00,Break,consistannt increase or decrese,
1619205,28-02-2021,10001,1234,USD,All Other Loans,Defferre Org Fees,140200.00,55000.00,-85200.00,Match,normal,
1619205,31-03-2021,10001,1234,USD,All Other Loans,Principal,141600.00,55500.00,-86100.00,Break,huge spike,
1619205,30-04-2021,10001,1234,USD,All Other Loans,Principal,143000.00,56000.00,-87000.00,Match,inline with previous balance,
1619205,31-05-2021,10001,1234,USD,All Other Loans,Defferred Costs,144400.00,56500.00,-87900.00,Break,inconsistane variations,
1619205,30-06-2021,10001,1234,USD,All Other Loans,Defferre Org Fees,145800.00,57000.00,-88800.00,Match,consistannt increase or decrese,
1619205,31-07-2021,10001,1234,USD,All Other Loans,Principal,147200.00,57500.00,-89700.00,Break,normal,
1619205,31-08-2021,10001,1234,USD,All Other Loans,Principal,148600.00,58000.00,-90600.00,Match,huge spike,
1619205,30-09-2021,10001,1234,USD,All Other Loans,Defferred Costs,150000.00,58500.00,-91500.00,Break,inline with previous balance,
1619205,31-10-2021,10001,1234,USD,All Other Loans,Defferre Org Fees,151400.00,59000.00,-92400.00,Match,inconsistane variations,
1619205,30-11-2021,10001,1234,USD,All Other Loans,Principal,152800.00,59500.00,-93300.00,Break,consistannt increase or decrese,
1619205,31-12-2021,10001,1234,USD,All Other Loans,Principal,154200.00,60000.00,-94200.00,Match,normal,
1619205,31-01-2021,10001,1234,USD,All Other Loans,Defferred Costs,155600.00,60500.00,-95100.00,Break,huge spike,
1619205,28-02-2021,10001,1234,USD,All Other Loans,Defferre Org Fees,157000.00,61000.00,-96000.00,Match,inline with previous balance,
1619205,31-03-2021,10001,1234,USD,All Other Loans,Principal,158400.00,61500.00,-96900.00,Break,inconsistane variations,
1619205,30-04-2021,10001,1234,USD,All Other Loans,Principal,159800.00,62000.00,-97800.00,Match,consistannt increase or decrese,
1619205,31-05-2021,10001,1234,USD,All Other Loans,Defferred Costs,161200.00,62500.00,-98700.00,Break,normal,
1619205,30-06-2021,10001,1234,USD,All Other Loans,Defferre Org Fees,162600.00,63000.00,-99600.00,Match,huge spike,
1619205,31-07-2021,10001,1234,USD,All Other Loans,Principal,164000.00,63500.00,-100500.00,Break,inline with previous balance,
1619205,31-08-2021,10001,1234,USD,All Other Loans,Principal,165400.00,64000.00,-101400.00,Match,inconsistane variations,
1619205,30-09-2021,10001,1234,USD,All Other Loans,Defferred Costs,166800.00,64500.00,-102300.00,Break,consistannt increase or decrese,
1619205,31-10-2021,10001,1234,USD,All Other Loans,Defferre Org Fees,168200.00,65000.00,-103200.00,Match,normal,
1619205,30-11-2021,10001,1234,USD,All Other Loans,Principal,169600.00,65500.00,-104100.00,Break,huge spike,
1619205,31-12-2021,10001,1234,USD,All Other Loans,Principal,171000.00,66000.00,-105000.00,Match,inline with previous balance,
1619205,31-01-2022,10001,1234,USD,All Other Loans,Defferred Costs,172400.00,66500.00,-105900.00,Break,inconsistane variations,
1619205,26-02-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,173800.00,67000.00,-106800.00,Match,consistannt increase or decrese,
1619205,31-03-2022,10001,1234,USD,All Other Loans,Principal,175200.00,67500.00,-107700.00,Break,normal,
1619205,30-04-2022,10001,1234,USD,All Other Loans,Principal,176600.00,68000.00,-108600.00,Match,huge spike,
1619205,31-05-2022,10001,1234,USD,All Other Loans,Defferred Costs,178000.00,68500.00,-109500.00,Break,inline with previous balance,
1619205,30-06-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,179400.00,69000.00,-110400.00,Match,inconsistane variations,
1619205,31-07-2022,10001,1234,USD,All Other Loans,Principal,180800.00,69500.00,-111300.00,Break,consistannt increase or decrese,
1619205,31-08-2022,10001,1234,USD,All Other Loans,Principal,182200.00,70000.00,-112200.00,Match,normal,
1619205,30-09-2022,10001,1234,USD,All Other Loans,Defferred Costs,183600.00,70500.00,-113100.00,Break,huge spike,
1619288,31-01-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,185000.00,71000.00,-114000.00,Match,inline with previous balance,
1619288,25-02-2022,10001,1234,USD,All Other Loans,Principal,186400.00,71500.00,-114900.00,Break,inconsistane variations,
1619288,22-03-2022,10001,1234,USD,All Other Loans,Principal,187800.00,72000.00,-115800.00,Match,consistannt increase or decrese,
1619288,16-04-2022,10001,1234,USD,All Other Loans,Defferred Costs,189200.00,72500.00,-116700.00,Break,normal,
1619288,11-05-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,190600.00,73000.00,-117600.00,Match,huge spike,
1619288,05-06-2022,10001,1234,USD,All Other Loans,Principal,192000.00,73500.00,-118500.00,Break,inline with previous balance,
1619288,30-06-2022,10001,1234,USD,All Other Loans,Principal,193400.00,74000.00,-119400.00,Match,inconsistane variations,
1619288,25-07-2022,10001,1234,USD,All Other Loans,Defferred Costs,194800.00,74500.00,-120300.00,Break,consistannt increase or decrese,
1619288,19-08-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,196200.00,75000.00,-121200.00,Match,normal,
1619288,13-09-2022,10001,1234,USD,All Other Loans,Principal,197600.00,75500.00,-122100.00,Break,huge spike,
1619288,08-10-2022,10001,1234,USD,All Other Loans,Principal,199000.00,76000.00,-123000.00,Match,inline with previous balance,
1619288,02-11-2022,10001,1234,USD,All Other Loans,Defferred Costs,200400.00,76500.00,-123900.00,Break,inconsistane variations,
1619288,27-11-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,201800.00,77000.00,-124800.00,Match,consistannt increase or decrese,
1619288,22-12-2022,10001,1234,USD,All Other Loans,Principal,202200.00,77500.00,-124700.00,Break,normal,
1619288,16-01-2023,10001,1234,USD,All Other Loans,Principal,202400.00,78000.00,-124400.00,Match,huge spike,
1619288,10-02-2023,10001,1234,USD,All Other Loans,Defferred Costs,206000.00,78500.00,-127500.00,Break,inline with previous balance,
1619288,07-03-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,207400.00,79000.00,-128400.00,Match,inconsistane variations,
1619288,01-04-2023,10001,1234,USD,All Other Loans,Principal,208800.00,79500.00,-129300.00,Break,consistannt increase or decrese,
1619288,26-04-2023,10001,1234,USD,All Other Loans,Principal,210200.00,80000.00,-130200.00,Match,normal,
1619288,21-05-2023,10001,1234,USD,All Other Loans,Defferred Costs,211600.00,80500.00,-131100.00,Break,huge spike,
1619288,15-06-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,213000.00,81000.00,-132000.00,Match,inline with previous balance,
1619288,10-07-2023,10001,1234,USD,All Other Loans,Principal,214400.00,81500.00,-132900.00,Break,inconsistane variations,
1619288,04-08-2023,10001,1234,USD,All Other Loans,Principal,215800.00,82000.00,-133800.00,Match,consistannt increase or decrese,
1619288,29-08-2023,10001,1234,USD,All Other Loans,Defferred Costs,217200.00,82500.00,-134700.00,Break,normal,
1619288,23-09-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,218600.00,83000.00,-135600.00,Match,huge spike,
1619288,18-10-2023,10001,1234,USD,All Other Loans,Principal,220000.00,83500.00,-136500.00,Break,inline with previous balance,
1619288,12-11-2023,10001,1234,USD,All Other Loans,Principal,221400.00,84000.00,-137400.00,Match,inconsistane variations,
1619288,07-12-2023,10001,1234,USD,All Other Loans,Defferred Costs,222800.00,84500.00,-138300.00,Break,consistannt increase or decrese,
1619288,01-01-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,224200.00,85000.00,-139200.00,Match,normal,
1619288,26-01-2024,10001,1234,USD,All Other Loans,Principal,225600.00,85500.00,-140100.00,Break,huge spike,
1619288,20-02-2024,10001,1234,USD,All Other Loans,Principal,227000.00,86000.00,-141000.00,Match,inline with previous balance,
1619288,16-03-2024,10001,1234,USD,All Other Loans,Defferred Costs,228400.00,86500.00,-141900.00,Break,inconsistane variations,
1619288,10-04-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,229800.00,87000.00,-142800.00,Match,consistannt increase or decrese,
1619288,05-05-2024,10001,1234,USD,All Other Loans,Principal,231200.00,87500.00,-143700.00,Break,normal,
1619288,30-05-2024,10001,1234,USD,All Other Loans,Principal,232600.00,88000.00,-144600.00,Match,huge spike,
1619288,24-06-2024,10001,1234,USD,All Other Loans,Defferred Costs,234000.00,88500.00,-145500.00,Break,inline with previous balance,
1619288,19-07-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,235400.00,89000.00,-146400.00,Match,inconsistane variations,
1619288,13-08-2024,10001,1234,USD,All Other Loans,Principal,236800.00,89500.00,-147300.00,Break,consistannt increase or decrese,
1619288,07-09-2024,10001,1234,USD,All Other Loans,Principal,238200.00,90000.00,-148200.00,Match,normal,
1619288,02-10-2024,10001,1234,USD,All Other Loans,Defferred Costs,239600.00,90500.00,-149100.00,Break,huge spike,
1619288,27-10-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,241000.00,91000.00,-150000.00,Match,inline with previous balance,
1619288,21-11-2024,10001,1234,USD,All Other Loans,Principal,242400.00,91500.00,-150900.00,Break,inconsistane variations,
1619288,16-12-2024,10001,1234,USD,All Other Loans,Principal,243800.00,92000.00,-151800.00,Match,consistannt increase or decrese,
1619288,10-01-2025,10001,1234,USD,All Other Loans,Defferred Costs,245200.00,92500.00,-152700.00,Break,normal,
1619288,04-02-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,246600.00,93000.00,-153600.00,Match,huge spike,
1619288,01-03-2025,10001,1234,USD,All Other Loans,Principal,248000.00,93500.00,-154500.00,Break,inline with previous balance,
1619288,26-03-2025,10001,1234,USD,All Other Loans,Principal,249400.00,94000.00,-155400.00,Match,inconsistane variations,
1619288,20-04-2025,10001,1234,USD,All Other Loans,Defferred Costs,250800.00,94500.00,-156300.00,Break,consistannt increase or decrese,
1619288,15-05-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,252200.00,95000.00,-157200.00,Match,normal,
1619288,09-06-2025,10001,1234,USD,All Other Loans,Principal,253600.00,95500.00,-158100.00,Break,huge spike,
1619288,04-07-2025,10001,1234,USD,All Other Loans,Principal,255000.00,96000.00,-159000.00,Match,inline with previous balance,
1619288,29-07-2025,10001,1234,USD,All Other Loans,Defferred Costs,256400.00,96500.00,-159900.00,Break,inconsistane variations,
1619288,23-08-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,257800.00,97000.00,-160800.00,Match,consistannt increase or decrese,
1619288,17-09-2025,10001,1234,USD,All Other Loans,Principal,259200.00,97500.00,-161700.00,Break,normal,
1619288,12-10-2025,10001,1234,USD,All Other Loans,Principal,260600.00,98000.00,-162600.00,Match,huge spike,
1619288,06-11-2025,10001,1234,USD,All Other Loans,Defferred Costs,262000.00,98500.00,-163500.00,Break,inline with previous balance,
1619288,01-12-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,263400.00,99000.00,-164400.00,Match,inconsistane variations,
1619288,26-12-2025,10001,1234,USD,All Other Loans,Principal,264800.00,99500.00,-165300.00,Break,consistannt increase or decrese,
1619288,20-01-2024,10001,1234,USD,All Other Loans,Principal,266200.00,100000.00,-166200.00,Match,normal,
1619288,14-02-2024,10001,1234,USD,All Other Loans,Defferred Costs,267600.00,100500.00,-167100.00,Break,huge spike,
1619288,11-03-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,269000.00,101000.00,-168000.00,Match,inline with previous balance,
1619288,05-04-2024,10001,1234,USD,All Other Loans,Principal,270400.00,101500.00,-168900.00,Break,inconsistane variations,
1619288,30-04-2024,10001,1234,USD,All Other Loans,Principal,271800.00,102000.00,-169800.00,Match,consistannt increase or decrese,
1619288,25-05-2024,10001,1234,USD,All Other Loans,Defferred Costs,273200.00,102500.00,-170700.00,Break,normal,
1619288,19-06-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,274600.00,103000.00,-171600.00,Match,huge spike,
1619288,14-07-2024,10001,1234,USD,All Other Loans,Principal,276000.00,103500.00,-172500.00,Break,inline with previous balance,
1619288,08-08-2024,10001,1234,USD,All Other Loans,Principal,277400.00,104000.00,-173400.00,Match,inconsistane variations,
1619288,02-09-2024,10001,1234,USD,All Other Loans,Defferred Costs,278800.00,104500.00,-174300.00,Break,consistannt increase or decrese,
1619288,27-09-2024,10001,1234,USD,All Other Loans,Defferre Org Fees,280200.00,105000.00,-175200.00,Match,normal,
1619288,22-10-2024,10001,1234,USD,All Other Loans,Principal,281600.00,105500.00,-176100.00,Break,huge spike,
1619288,16-11-2024,10001,1234,USD,All Other Loans,Principal,283000.00,106000.00,-177000.00,Match,inline with previous balance,
1619288,11-12-2024,10001,1234,USD,All Other Loans,Defferred Costs,284400.00,106500.00,-177900.00,Break,inconsistane variations,
1619288,05-01-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,285800.00,107000.00,-178800.00,Match,consistannt increase or decrese,
1619288,30-01-2023,10001,1234,USD,All Other Loans,Principal,287200.00,107500.00,-179700.00,Break,normal,
1619288,24-02-2023,10001,1234,USD,All Other Loans,Principal,288600.00,108000.00,-180600.00,Match,huge spike,
1619288,21-03-2023,10001,1234,USD,All Other Loans,Defferred Costs,290000.00,108500.00,-181500.00,Break,inline with previous balance,
1619288,15-04-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,291400.00,109000.00,-182400.00,Match,inconsistane variations,
1619288,10-05-2023,10001,1234,USD,All Other Loans,Principal,292800.00,109500.00,-183300.00,Break,consistannt increase or decrese,
1619288,04-06-2023,10001,1234,USD,All Other Loans,Principal,294200.00,110000.00,-184200.00,Match,normal,
1619288,29-06-2023,10001,1234,USD,All Other Loans,Defferred Costs,295600.00,110500.00,-185100.00,Break,huge spike,
1619288,24-07-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,297000.00,111000.00,-186000.00,Match,inline with previous balance,
1619288,18-08-2023,10001,1234,USD,All Other Loans,Principal,298400.00,111500.00,-186900.00,Break,inconsistane variations,
1619288,12-09-2023,10001,1234,USD,All Other Loans,Principal,299800.00,112000.00,-187800.00,Match,consistannt increase or decrese,
1619288,07-10-2023,10001,1234,USD,All Other Loans,Defferred Costs,301200.00,112500.00,-188700.00,Break,normal,
1619288,01-11-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,302600.00,113000.00,-189600.00,Match,huge spike,
1619288,26-11-2023,10001,1234,USD,All Other Loans,Principal,304000.00,113500.00,-190500.00,Break,inline with previous balance,
1619288,21-12-2023,10001,1234,USD,All Other Loans,Principal,305400.00,114000.00,-191400.00,Match,inconsistane variations,
1619288,15-01-2025,10001,1234,USD,All Other Loans,Defferred Costs,306800.00,114500.00,-192300.00,Break,consistannt increase or decrese,
1619288,09-02-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,308200.00,115000.00,-193200.00,Match,normal,
1619288,05-03-2025,10001,1234,USD,All Other Loans,Principal,309600.00,115500.00,-194100.00,Break,huge spike,
1619288,30-03-2025,10001,1234,USD,All Other Loans,Principal,311000.00,116000.00,-195000.00,Match,inline with previous balance,
1619288,24-04-2025,10001,1234,USD,All Other Loans,Defferred Costs,312400.00,116500.00,-195900.00,Break,inconsistane variations,
1619288,19-05-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,313800.00,117000.00,-196800.00,Match,consistannt increase or decrese,
1619288,13-06-2025,10001,1234,USD,All Other Loans,Principal,315200.00,117500.00,-197700.00,Break,normal,
1619288,08-07-2025,10001,1234,USD,All Other Loans,Principal,316600.00,118000.00,-198600.00,Match,huge spike,
1619288,02-08-2025,10001,1234,USD,All Other Loans,Defferred Costs,318000.00,118500.00,-199500.00,Break,inline with previous balance,
1619288,27-08-2025,10001,1234,USD,All Other Loans,Defferre Org Fees,319400.00,119000.00,-200400.00,Match,inconsistane variations,
1619288,21-09-2025,10001,1234,USD,All Other Loans,Principal,320800.00,119500.00,-201300.00,Break,consistannt increase or decrese,
1619288,16-10-2025,10001,1234,USD,All Other Loans,Principal,322200.00,120000.00,-202200.00,Match,normal,
1619288,10-11-2025,10001,1234,USD,All Other Loans,Defferred Costs,323600.00,120240.00,-203360.00,Break,huge spike,
